ParticipantID,GainDetected,DeltaPosMagnitude,DeltaDir,DeltaTime,ResetActive,S2CActive,AC2FActive,NoDistractorActive,ContrabassDistractorActive,OboeDistractorActive,HarpsichordDistractorActive,ViolinDistractorActive,GlockenspielDistractorActive,NoGainApplied,NegativeRotationGainApplied,PositiveRotationGainApplied,CurvatureGainApplied,CurrentRotationGainAgainst,CurrentRotationGainWith,CurrentCurvatureGainRadius,NoGainRatioDuringDetection,NegativeRotationGainRatioDuringDetection,PositiveRotationGainRatioDuringDetection,CurvatureGainRatioDuringDetection,MostLikelyDetectedGain,TimeSinceExperimentStart
0,0,0,0,0.0068929,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.2467203
0,0,0,0,0.0069807,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.2533855
0,0,0,0,0.0069549,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.2602987
0,0,0,0,0.0069816,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.2675934
0,0,0,0,0.0063896,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.2736444
0,0,0,0,0.0068448,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.2808151
0,0,0,0,0.0068445,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.2873421
0,0,0,0,0.0068446,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.2941875
0,0,0,0,0.0069435,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.3014164
0,0,0,0,0.0070305,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.3081617
0,0,0,0,0.0069314,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.3150921
0,0,0,0,0.0068304,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.3222933
0,0,0,0,0.0064858,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.3284025
0,0,0,0,0.0068446,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.3352413
0,0,0,0,0.0068445,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.3424168
0,0,0,0,0.0068451,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.3489704
0,0,0,0,0.0068439,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.3557835
0,0,0,0,0.0069682,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.3630438
0,0,0,0,0.0070083,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.3697615
0,0,0,0,0.0069529,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.37673
0,0,0,0,0.0064483,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.3834572
0,0,0,0,0.0068445,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.3900013
0,0,0,0,0.0068446,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.3968458
0,0,0,0,0.0068443,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.404006
0,0,0,0,0.0069348,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.4106522
0,0,0,0,0.0070106,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.4177179
0,0,0,0,0.0069446,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.4248638
0,0,0,0,0.0069806,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.4316168
0,0,0,0,0.0069813,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.4385529
0,0,0,0,0.0062148,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.4450388
0,0,0,0,0.0068447,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.4516029
0,0,0,0,0.0068876,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.4584885
0,0,0,0,0.0070106,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.4658632
0,0,0,0,0.0069506,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.4724474
0,0,0,0,0.007103,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.4795589
0,0,0,0,0.0068876,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.4867249
0,0,0,0,0.0062266,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.4926567
0,0,0,0,0.0068447,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.4995136
0,0,0,0,0.0068861,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.5066757
0,0,0,0,0.0069886,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.5133982
0,0,0,0,0.0070381,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.5207081
0,0,0,0,0.0069052,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.5273275
0,0,0,0,0.0069812,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.5343027
0,0,0,0,0.0070754,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.5416574
0,0,0,0,0.0060363,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.5474186
0,0,0,0,0.0068448,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.5542717
0,0,0,0,0.0069723,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.5615206
0,0,0,0,0.006985,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.5682344
0,0,0,0,0.0069857,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.575222
0,0,0,0,0.0069784,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.5824862
0,0,0,0,0.0063004,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.5884943
0,0,0,0,0.006845,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.5953321
0,0,0,0,0.0068447,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.6024628
0,0,0,0,0.0069392,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.6091108
0,0,0,0,0.0069806,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.6160984
0,0,0,0,0.0066131,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.6229963
0,0,0,0,0.0069145,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.6296892
0,0,0,0,0.0069725,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.6366034
0,0,0,0,0.0069528,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.6438303
0,0,0,0,0.0065376,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.6500835
0,0,0,0,0.0068454,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.6569452
0,0,0,0,0.0068441,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.6640644
0,0,0,0,0.0069262,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.6707077
0,0,0,0,0.0068865,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.6776009
0,0,0,0,0.0069811,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.6848545
0,0,0,0,0.0069577,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.6915331
0,0,0,0,0.0070061,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.6985426
0,0,0,0,0.0069835,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.705842
0,0,0,0,0.0061696,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.7116909
0,0,0,0,0.0068454,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.7185555
0,0,0,0,0.0069434,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.7258368
0,0,0,0,0.0070666,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.7325649
0,0,0,0,0.0069399,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.739522
0,0,0,0,0.0069271,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.7467461
0,0,0,0,0.0070727,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.7534952
0,0,0,0,0.006117,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.7596273
0,0,0,0,0.0068448,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.7667646
0,0,0,0,0.0068898,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.7733641
0,0,0,0,0.0069565,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.7803183
0,0,0,0,0.0066865,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.7873116
0,0,0,0,0.0068451,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.7938643
0,0,0,0,0.0068441,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.8009758
0,0,0,0,0.0075531,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.8082523
0,0,0,0,0.006135,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.8143749
0,0,0,0,0.0068454,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.8215303
0,0,0,0,0.0075614,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.8288317
0,0,0,0,0.0069867,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.8357868
0,0,0,0,0.0059839,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.8420486
0,0,0,0,0.0069543,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.8487129
0,0,0,0,0.0069783,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.8556862
0,0,0,0,0.0069798,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.8629694
0,0,0,0,0.0069816,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.8696442
0,0,0,0,0.0069805,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.8766127
0,0,0,0,0.006983,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.8838949
0,0,0,0,0.0060535,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.8896379
0,0,0,0,0.0069407,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.8965874
0,0,0,0,0.0069809,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.9038591
0,0,0,0,0.0069831,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.9105673
0,0,0,0,0.0070113,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.9175825
0,0,0,0,0.0069527,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.9248295
0,0,0,0,0.0061979,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.9307013
0,0,0,0,0.0068448,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.9375496
0,0,0,0,0.0069509,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.9447861
0,0,0,0,0.0104446,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.954957
0,0,0,0,0.0068452,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.9621
0,0,0,0,0.0075954,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.9694052
0,0,0,0,0.006978,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.9763765
0,0,0,0,0.0059592,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.9826269
0,0,0,0,0.0071084,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.9894648
0,0,0,0,0.0069031,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.9963608
0,0,0,0,0.0070553,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,1.003685
0,0,0,0,0.0063112,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,1.009718
0,0,0,0,0.0068459,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,1.016576
0,0,0,0,0.0068444,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,1.023724
0,0,0,0,0.0068442,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,1.030266
0,0,0,0,0.0068446,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,1.03711
